epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2668,2.94509,4.40317,3.60697,0.6386,0.1,0.0353,0.00764,2.29959,4.33616,3.83176,0,0,0
2,69.3461,2.84469,4.30357,3.61434,0.69363,0.09363,0.05283,0.01175,2.26855,4.32768,3.80751,9.802e-06,9.802e-06,9.802e-06
3,104.082,2.9435,4.18664,4.10688,0.69995,0.09995,0.05194,0.01107,2.21372,4.30311,3.76035,1.9208e-05,1.9208e-05,1.9208e-05
4,138.572,2.72397,4.24402,3.40174,0.6976,0.1,0.05202,0.01084,2.12532,4.2586,3.69862,2.8218e-05,2.8218e-05,2.8218e-05
5,172.667,2.86572,4.17272,3.84466,0.69673,0.1,0.05408,0.01235,2.02268,4.19529,3.62179,3.6832e-05,3.6832e-05,3.6832e-05
6,206.891,2.62317,4.23796,3.37659,0.89701,0.1,0.05487,0.01272,1.89959,4.10859,3.53075,4.505e-05,4.505e-05,4.505e-05
7,241.444,2.50295,4.10783,3.1843,0.89783,0.09783,0.06338,0.0171,1.78033,4.01595,3.43093,5.2872e-05,5.2872e-05,5.2872e-05
8,276.163,2.63907,4.0349,3.47418,0.6426,0.1,0.05903,0.02113,1.68278,3.91786,3.36325,6.0298e-05,6.0298e-05,6.0298e-05
9,310.686,2.09086,3.9607,3.13313,0.63192,0.1,0.06623,0.0257,1.60836,3.8089,3.32823,6.7328e-05,6.7328e-05,6.7328e-05
10,345.222,2.24022,3.87777,3.03078,0.63003,0.1,0.0751,0.0322,1.54926,3.68989,3.32415,7.3962e-05,7.3962e-05,7.3962e-05
11,380.186,2.19051,3.792,3.10311,0.62042,0.1,0.08588,0.03768,1.5174,3.57164,3.35039,8.02e-05,8.02e-05,8.02e-05
