epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,964.799,1.46022,1.56433,2.83161,0.81797,0.89048,0.88078,0.61079,1.14794,1.00619,2.97979,0.000659794,0.000659794,0.000659794
2,1845.09,1.15476,0.93802,2.56941,0.89985,0.89048,0.94648,0.67965,1.09608,0.81059,2.84762,0.0013002,0.0013002,0.0013002
3,2637.48,1.10488,0.8513,2.48991,0.90024,0.90893,0.94647,0.7027,0.99856,0.79614,2.66756,0.0019142,0.0019142,0.0019142
4,3419.88,1.0519,0.83106,2.42593,0.87304,0.925,0.93269,0.69368,0.97887,0.77978,2.87384,0.0018812,0.0018812,0.0018812
5,4201.25,1.00605,0.75593,2.36423,0.91214,0.92082,0.93293,0.71308,0.94279,0.69172,2.75035,0.0018416,0.0018416,0.0018416
6,4979.04,0.96937,0.72869,2.30958,0.90638,0.90833,0.95717,0.7409,0.92709,0.67875,2.49497,0.001802,0.001802,0.001802
7,5757.21,0.95721,0.71067,2.27438,0.92575,0.92771,0.96737,0.74527,0.89888,0.64346,2.69563,0.0017624,0.0017624,0.0017624
8,6539.26,0.93435,0.69595,2.24702,0.92467,0.92062,0.96316,0.74744,0.90508,0.63796,2.70706,0.0017228,0.0017228,0.0017228
9,7314.18,0.9236,0.68118,2.16718,0.923,0.94188,0.97005,0.77069,0.85674,0.62787,2.32269,0.0016832,0.0016832,0.0016832
10,8097.16,0.90413,0.6677,2.1893,0.94715,0.92619,0.97378,0.77129,0.86156,0.59251,2.48204,0.0016436,0.0016436,0.0016436
11,8874.64,0.90472,0.66807,2.1685,0.91402,0.9302,0.95063,0.75032,0.90621,0.63923,2.29778,0.001604,0.001604,0.001604
12,9657.02,0.89597,0.65031,2.16193,0.92059,0.94286,0.97364,0.78005,0.82646,0.58605,2.25812,0.0015644,0.0015644,0.0015644
13,10433.7,0.89996,0.65257,2.13546,0.90783,0.94393,0.9657,0.76777,0.83198,0.61731,2.30509,0.0015248,0.0015248,0.0015248
14,11212.7,0.86572,0.62911,2.10997,0.93555,0.93322,0.9739,0.78512,0.79963,0.59369,2.38876,0.0014852,0.0014852,0.0014852
15,11987.5,0.85723,0.6178,2.11756,0.92975,0.93749,0.97623,0.79535,0.78344,0.57938,2.32664,0.0014456,0.0014456,0.0014456
16,12765.8,0.86126,0.63135,2.1054,0.94219,0.94109,0.97322,0.79415,0.78733,0.5657,2.28782,0.001406,0.001406,0.001406
17,13543.9,0.84527,0.60735,2.0645,0.94175,0.9244,0.97108,0.7936,0.78902,0.57971,2.27548,0.0013664,0.0013664,0.0013664
18,14323.4,0.84681,0.60731,2.08605,0.93848,0.94437,0.96745,0.7859,0.77534,0.55902,2.20465,0.0013268,0.0013268,0.0013268
19,15104.2,0.84239,0.60587,2.06375,0.9328,0.94185,0.97156,0.79304,0.79314,0.57219,2.27222,0.0012872,0.0012872,0.0012872
20,15866.5,0.82281,0.59702,2.06228,0.93915,0.93697,0.97729,0.80643,0.76644,0.56691,2.14598,0.0012476,0.0012476,0.0012476
21,16593.9,0.82104,0.58658,2.04407,0.94214,0.93274,0.97378,0.77861,0.86256,0.58714,2.25735,0.001208,0.001208,0.001208
22,17332.1,0.82454,0.59296,2.02093,0.94387,0.93988,0.97549,0.80752,0.76348,0.54963,2.24691,0.0011684,0.0011684,0.0011684
23,18065.5,0.80809,0.57511,2.00841,0.95155,0.93532,0.97748,0.8185,0.74316,0.53791,2.28189,0.0011288,0.0011288,0.0011288
24,18798.2,0.79236,0.56452,2.01326,0.94394,0.93512,0.97286,0.80319,0.7652,0.55742,2.2613,0.0010892,0.0010892,0.0010892
25,19533.8,0.79825,0.57235,2.01418,0.93084,0.93333,0.97044,0.80166,0.76116,0.56045,2.18568,0.0010496,0.0010496,0.0010496
26,20295.2,0.80973,0.56954,1.98881,0.94308,0.94167,0.97581,0.80905,0.76238,0.54332,2.16105,0.00101,0.00101,0.00101
27,21045.4,0.7883,0.55496,2.00767,0.95908,0.92857,0.97441,0.81234,0.75503,0.54817,2.113,0.0009704,0.0009704,0.0009704
28,21805.9,0.78485,0.55508,1.97901,0.94374,0.93571,0.97616,0.81544,0.72835,0.54561,2.13539,0.0009308,0.0009308,0.0009308
29,22567.2,0.78088,0.54985,1.98162,0.9472,0.93974,0.97542,0.82075,0.72594,0.52035,2.2935,0.0008912,0.0008912,0.0008912
30,23328.5,0.79992,0.56454,2.00751,0.92411,0.94221,0.94962,0.79751,0.72418,0.56545,2.24921,0.0008516,0.0008516,0.0008516
31,24090.2,0.77029,0.54454,1.96111,0.94543,0.93988,0.96692,0.81159,0.72242,0.5379,2.14738,0.000812,0.000812,0.000812
32,24852.5,0.76161,0.53996,1.96486,0.94179,0.9438,0.9731,0.82246,0.71871,0.51707,2.25869,0.0007724,0.0007724,0.0007724
33,25612.9,0.75582,0.53541,1.94944,0.94277,0.93988,0.97721,0.81256,0.76363,0.53623,2.1485,0.0007328,0.0007328,0.0007328
34,26375.7,0.77182,0.5423,1.92709,0.94736,0.95336,0.98196,0.82636,0.7175,0.50565,2.12469,0.0006932,0.0006932,0.0006932
35,27138.5,0.7568,0.534,1.96051,0.95737,0.93571,0.98038,0.82695,0.72019,0.5131,2.19945,0.0006536,0.0006536,0.0006536
36,27901.8,0.75608,0.53312,1.92204,0.94226,0.94218,0.96326,0.81987,0.69738,0.52189,2.11457,0.000614,0.000614,0.000614
37,28666.9,0.74794,0.52369,1.93393,0.94989,0.94762,0.96848,0.82819,0.69077,0.50248,2.07427,0.0005744,0.0005744,0.0005744
38,29425.9,0.72454,0.51337,1.92963,0.94306,0.95636,0.9758,0.83118,0.69347,0.50289,2.12922,0.0005348,0.0005348,0.0005348
39,30189.1,0.73417,0.5149,1.92498,0.95686,0.92917,0.97718,0.83436,0.67942,0.50992,2.23668,0.0004952,0.0004952,0.0004952
40,30954.8,0.73134,0.51368,1.92079,0.9487,0.95179,0.96935,0.82532,0.68403,0.49651,2.03652,0.0004556,0.0004556,0.0004556
41,31689.4,0.71849,0.49418,1.89486,0.94819,0.94772,0.97954,0.83521,0.69913,0.50277,2.05763,0.000416,0.000416,0.000416
42,32422,0.71507,0.48927,1.90651,0.94219,0.95476,0.97392,0.83718,0.6728,0.49587,2.10188,0.0003764,0.0003764,0.0003764
43,33156.1,0.70681,0.48548,1.9075,0.95208,0.9506,0.98329,0.84562,0.66169,0.48983,2.08672,0.0003368,0.0003368,0.0003368
44,33892.7,0.70759,0.48242,1.88241,0.95337,0.94345,0.98053,0.83883,0.67713,0.48321,2.05213,0.0002972,0.0002972,0.0002972
45,34625.2,0.67541,0.45794,1.85907,0.95248,0.9506,0.97907,0.84422,0.67973,0.49053,2.04689,0.0002576,0.0002576,0.0002576
46,35359.9,0.67692,0.46215,1.85347,0.95145,0.94484,0.97979,0.84117,0.68067,0.49498,2.09134,0.000218,0.000218,0.000218
47,36096,0.6711,0.45851,1.87665,0.9525,0.9494,0.97933,0.84268,0.67723,0.49233,2.02226,0.0001784,0.0001784,0.0001784
48,36821.8,0.66664,0.44801,1.83899,0.9556,0.94791,0.97786,0.84498,0.66185,0.47889,2.01283,0.0001388,0.0001388,0.0001388
49,37560.5,0.6563,0.44872,1.83956,0.95,0.95009,0.97533,0.84509,0.65413,0.47668,2.04759,9.92e-05,9.92e-05,9.92e-05
50,38298.3,0.64937,0.44939,1.83103,0.95636,0.93911,0.97854,0.84824,0.65372,0.4835,2.01707,5.96e-05,5.96e-05,5.96e-05
